Run1:
Estimate of Posterior Sizes:
Marginal Association Size:
0: 0.164, 1: 0.324, 2: 0.282, 3: 0.152, 4: 0.057, 5: 0.016, 6: 0.004, 7: 0.001, 8: 0.000, 9: 0.000, 10: 0.000, 11: 0.000, 
Interaction Association Size:
0: 1.000, 
Metropolis-Hastings Acceptance Rates:
burnin: 0.110,	move0= 0.089,	move1= 0.108,	move2= 0.095,	
---------------------------------------------------
1791 :	 B-stat = 20.171441	 P = 0.393576
7625 :	 B-stat = 2.086554	 P = 1.000000
422 :	 B-stat = 4.460479	 P = 1.000000
5523 :	 B-stat = 0.190305	 P = 1.000000
417 :	 B-stat = 1.595162	 P = 1.000000
7628 :	 B-stat = 0.071481	 P = 1.000000
5702 :	 B-stat = 1.976307	 P = 1.000000
410 :	 B-stat = 0.820634	 P = 1.000000
406 :	 B-stat = 0.002652	 P = 1.000000
4322 :	 B-stat = 1.509957	 P = 1.000000
5939 :	 B-stat = 3.141667	 P = 1.000000
393 :	 B-stat = 0.084737	 P = 1.000000
7332 :	 B-stat = 2.543474	 P = 1.000000
4310 :	 B-stat = 3.695761	 P = 1.000000
370 :	 B-stat = 3.584319	 P = 1.000000
6242 :	 B-stat = 1.923689	 P = 1.000000
367 :	 B-stat = 1.407165	 P = 1.000000
366 :	 B-stat = 0.260482	 P = 1.000000
363 :	 B-stat = 1.993121	 P = 1.000000
362 :	 B-stat = 2.919282	 P = 1.000000
361 :	 B-stat = 1.947781	 P = 1.000000
7633 :	 B-stat = 4.040856	 P = 1.000000
357 :	 B-stat = 1.092069	 P = 1.000000
9049 :	 B-stat = 2.212252	 P = 1.000000
4971 :	 B-stat = 0.201723	 P = 1.000000
349 :	 B-stat = 0.161954	 P = 1.000000
4304 :	 B-stat = 4.181093	 P = 1.000000
345 :	 B-stat = 2.921558	 P = 1.000000
344 :	 B-stat = 1.068614	 P = 1.000000
340 :	 B-stat = 3.626883	 P = 1.000000
339 :	 B-stat = 3.289143	 P = 1.000000
337 :	 B-stat = 0.265630	 P = 1.000000
8003 :	 B-stat = 0.681982	 P = 1.000000
4814 :	 B-stat = 1.223346	 P = 1.000000
291 :	 B-stat = 1.712229	 P = 1.000000
283 :	 B-stat = 0.631951	 P = 1.000000
259 :	 B-stat = 5.167328	 P = 1.000000
218 :	 B-stat = 1.670182	 P = 1.000000
7637 :	 B-stat = 7.452782	 P = 1.000000
208 :	 B-stat = 0.475728	 P = 1.000000
207 :	 B-stat = 0.771156	 P = 1.000000
202 :	 B-stat = 1.432098	 P = 1.000000
200 :	 B-stat = 2.623779	 P = 1.000000
199 :	 B-stat = 0.902830	 P = 1.000000
198 :	 B-stat = 0.672398	 P = 1.000000
193 :	 B-stat = 3.904170	 P = 1.000000
192 :	 B-stat = 3.739211	 P = 1.000000
4293 :	 B-stat = 5.014682	 P = 1.000000
185 :	 B-stat = 0.971438	 P = 1.000000
184 :	 B-stat = 3.035556	 P = 1.000000
182 :	 B-stat = 1.619181	 P = 1.000000
147 :	 B-stat = 4.430417	 P = 1.000000
144 :	 B-stat = 7.700362	 P = 1.000000
139 :	 B-stat = 4.662941	 P = 1.000000
7638 :	 B-stat = 6.525573	 P = 1.000000
89 :	 B-stat = 1.841276	 P = 1.000000
6246 :	 B-stat = 1.346726	 P = 1.000000
82 :	 B-stat = 2.976705	 P = 1.000000
7641 :	 B-stat = 2.081957	 P = 1.000000
74 :	 B-stat = 3.104191	 P = 1.000000
58 :	 B-stat = 2.796107	 P = 1.000000
45 :	 B-stat = 2.095201	 P = 1.000000
36 :	 B-stat = 0.658928	 P = 1.000000
12 :	 B-stat = 1.172495	 P = 1.000000
3 :	 B-stat = 1.021273	 P = 1.000000
1542 :	 B-stat = 3.930253	 P = 1.000000
8474 :	 B-stat = 0.342690	 P = 1.000000
